Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
BtAsiaPac,2,0,4.997,0.9000594167,0,12.057357013,0.900065,0,3.564,0.9000683333,0,3.727316509,0.9000919167
BtAsiaPac,3,0,1.679,0.90007575,0,3.996544357,0.900072,0,1.618,0.9000765,0,1.696492639,0.9002435833
BtAsiaPac,4,0,1.297,0.9000705,0,1.628724964,0.900075,0,1.556,0.9000755,0,3.195280864,0.901339
BtEurope,0,0,0.955,0.900016,0,1.807138463,0.8999935,0,0.815,0.9000475,0,2.888571576,0.9580375
BtEurope,1,0,0.747,0.9000005,0,1.580321599,0.900071,0,0.868,0.900069,0,2.528752567,0.9113285
BtEurope,2,0,1.254,0.90006,0,3.09435636,0.9000085,0,1.147,0.900058,0,2.703435579,1.102091
BtEurope,3,0,0.677,0.900031,0,0.752930873,0.9000345,0,0.902,0.9000475,0,2.454190847,0.9139595
BtEurope,4,0,0.84,1.131795,0,2.018526301,1.131795,0,0.811,1.131795,0,2.669228133,1.150131
BtLatinAmerica,0,0,0.517,0.899748,0,1.019054673,0.899748,0,1.406,0.899748,0,18.737302669,0.899748
BtLatinAmerica,1,0,0.49,0.899738,0,1.196995784,0.899738,0,1.324,0.899738,0,18.869219906,0.899738
BtLatinAmerica,2,0,0.537,0.899758,0,0.930034158,0.899758,0,1.393,0.899758,0,18.395098214,0.899758
BtLatinAmerica,3,0,0.515,0.899746,0,1.120240596,0.899746,0,1.343,0.899746,0,18.310907854,0.899746
BtLatinAmerica,4,0,0.493,0.89975,0,0.93543339,0.89975,0,1.331,0.89975,0,18.184684194,0.89975
BtNorthAmerica,0,0,38.402,0.9000503194,0,130.034579935,0.9000637361,0,253.732,0.9000555,0,76.730620944,0.9002675833
BtNorthAmerica,1,0,47.672,0.9000544167,0,60.583040703,0.9000703333,0,32.509,0.9000714583,0,24.565335267,0.9006702431
BtNorthAmerica,2,0,41.871,0.900077,0,61.329661339,0.9058919167,0,135.058,0.9000703333,1,-0,-0
BtNorthAmerica,3,0,584.749,0.9000657083,0,1665.847803007,0.9000590708,0,215.633,0.9000935,0,197.493652485,0.9001971458
BtNorthAmerica,4,0,44.753,0.9000305,0,25.351957515,0.9000465,0,18.03,0.9000305,1,-0,-0
Canerie,0,0,0.706,0.899991,0,1.026294589,0.900004,0,0.735,0.899945,0,6.695919971,0.900028
Canerie,1,0,0.491,0.899943,0,0.59429676,0.899958,0,0.627,0.899945,0,5.959565995,0.89996
Canerie,2,0,0.766,0.899992,0,1.192930761,0.899982,0,0.77,0.899984,0,5.823664731,0.900038
Canerie,3,0,0.531,0.899979,0,0.928476971,0.899998,0,0.691,0.899941,0,7.479316962,0.899949
Canerie,4,0,0.74,0.899976,0,1.22323153,0.899995,0,0.818,0.899947,0,7.933884458,0.899959
Carnet,0,0,0.201,0.899842,0,0.655037383,0.899842,0,0.756,0.899842,0,13.864806251,0.899842
Carnet,1,0,0.207,0.899832,0,0.604775576,0.899832,0,0.705,0.899832,0,14.510185552,0.899832
Carnet,2,0,0.2,0.899832,0,0.681702043,0.899832,0,0.736,0.899832,0,14.533222092,0.899832
Carnet,3,0,0.186,0.899839,0,0.657918807,0.899839,0,0.713,0.899839,0,14.625031405,0.899839
Carnet,4,0,0.209,0.899834,0,0.69438313,0.899834,0,0.731,0.899834,0,14.715939782,0.899834
