Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Garr199901,0003,0.001,0.158,0.159,0.900041
Garr199901,0004,0.002,0.157,0.159,0.9000469999999999
Garr199904,0000,0.016,0.285,0.301,0.8999612903225807
Garr199904,0001,0.016,0.291,0.307,0.8999741935483871
Garr199904,0002,0.016,0.291,0.307,0.8999354838709678
Garr199904,0003,0.016,0.281,0.297,0.8999806451612903
Garr199904,0004,0.017,0.282,0.299,0.8999096774193549
Garr199905,0000,0.016,0.422,0.438,0.8999806451612903
Garr199905,0001,0.017,0.316,0.333,0.899941935483871
Garr199905,0002,0.017,0.307,0.324,0.8999741935483871
Garr199905,0003,0.016,0.897,0.913,0.8999548387096774
Garr199905,0004,0.016,0.364,0.38,0.8999290322580645
Garr200109,0000,0.016,0.262,0.278,0.8999677419354839
Garr200109,0001,0.016,0.276,0.292,0.8999548387096774
Garr200109,0002,0.017,0.276,0.293,0.8999741935483871
Garr200109,0003,0.016,0.287,0.303,0.8999548387096774
Garr200109,0004,0.017,0.291,0.308,0.8999483870967742
Garr200112,0000,0.017,0.294,0.311,0.899941935483871
Garr200112,0001,0.016,0.352,0.368,0.899916129032258
Garr200112,0002,0.016,0.331,0.347,0.899974193548387
Garr200112,0003,0.016,0.329,0.345,0.8999225806451613
Garr200112,0004,0.016,0.305,0.321,0.8998903225806452
Garr200212,0000,0.018,0.368,0.386,0.8998709677419355
Garr200212,0001,0.018,0.354,0.372,1.151116129032258
Garr200212,0002,0.017,0.379,0.396,1.124858064516129
Garr200212,0003,0.018,0.403,0.421,0.8998129032258064
Garr200212,0004,0.018,0.353,0.371,0.8998064516129032
Garr200404,0000,0.016,0.339,0.355,0.8999548387096774
Garr200404,0001,0.016,0.272,0.288,0.8999548387096774
Garr200404,0002,0.016,0.325,0.341,0.8999741935483871
Garr200404,0003,0.016,0.357,0.373,0.8999806451612903
Garr200404,0004,0.016,0.251,0.267,0.8999290322580644
Garr200902,0000,0.024,3.362,3.386,0.9651720462054892
Garr200902,0001,0.025,3.866,3.891,0.929194
Garr200902,0002,0.042,2.835,2.877,0.9000416
Garr200902,0003,0.043,2.156,2.199,0.899902
Garr200902,0004,0.046,2.155,2.201,1.1045323351088925
Garr200908,0000,0.039,2.324,2.363,0.9000376
Garr200908,0001,0.033,2.15,2.183,0.9000564
Garr200908,0002,0.039,2.398,2.437,0.9465556
Garr200908,0003,0.044,2.962,3.006,0.9000992
Garr200908,0004,0.025,1.961,1.986,0.984247
Garr200909,0000,0.028,2.935,2.963,0.9587936
Garr200909,0001,0.047,2.097,2.144,0.8999169230769231
Garr200909,0002,0.044,3.095,3.139,0.9533224
Garr200909,0003,0.043,2.251,2.294,0.9000312
Garr200909,0004,0.047,2.152,2.199,0.900104
Garr200912,0000,0.049,2.447,2.496,0.9469328
Garr200912,0001,0.047,2.95,2.997,0.964906
Garr200912,0002,0.043,1.979,2.022,0.8999138461538462
Garr200912,0003,0.045,2.169,2.214,0.8999261538461538
Garr200912,0004,0.033,3.345,3.378,0.9566888
Garr201001,0000,0.043,2.186,2.229,0.9729164
Garr201001,0001,0.04,2.145,2.185,1.091937
Garr201001,0002,0.034,2.102,2.136,0.905651
Garr201001,0003,0.043,3.11,3.153,0.9205972
Garr201001,0004,0.046,2.142,2.188,1.007009
Garr201003,0000,0.033,3.47,3.503,0.9108512
Garr201003,0001,0.036,2.212,2.248,1.019401
Garr201003,0002,0.034,2.683,2.717,0.8999184615384616
Garr201003,0003,0.046,2.927,2.973,0.9195892
Garr201003,0004,0.039,2.254,2.293,0.8999169230769231
Garr201004,0000,0.043,4.8,4.843,0.964922
Garr201004,0001,0.04,2.722,2.762,0.9931624
Garr201004,0002,0.037,2.373,2.41,1.204614
Garr201004,0003,0.041,2.161,2.202,0.8999230769230769
Garr201004,0004,0.042,2.594,2.636,0.9962834633044888
Garr201005,0000,0.042,2.665,2.707,0.9000196
Garr201005,0001,0.047,2.666,2.713,0.9798056
Garr201005,0002,0.044,2.36,2.404,1.0544084
