Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
Compuserve,0004,0,1.154194417,1.6254166666666667,0.8998666666666667
CrlNetworkServices,0000,0,2.057077893,1.6589222222222222,0.8991777777777777
CrlNetworkServices,0001,0,2.180208297,1.5505333333333333,0.8986777777777778
CrlNetworkServices,0002,0,1.693645002,1.316,0.8986444444444445
CrlNetworkServices,0003,0,1.505041563,1.2762,0.8986666666666666
CrlNetworkServices,0004,0,1.512014015,1.5500333333333334,0.8986888888888889
Cudi,0000,0,1.337977223,0.8998870833333333,0.8998870833333333
Cudi,0001,0,1.292870411,0.8999529166666667,0.8999529166666667
Cudi,0002,0,1.240027074,0.8998883333333333,0.8998883333333333
Cudi,0003,0,1.741496505,0.8998845833333333,0.8998845833333333
Cudi,0004,0,1.036690314,0.8998883333333333,0.8998883333333333
Cwix,0000,0,2.054518872,1.2188037037037038,0.8988185185185186
Cwix,0001,0,2.505215967,1.475014814814815,0.8989444444444444
Cwix,0002,0,1.507684364,1.1296314814814814,0.8989185185185185
Cwix,0003,0,2.013436852,1.2342,0.8988555555555555
Cwix,0004,0,1.353202069,1.1962481481481482,0.8989333333333334
Cynet,0000,0,0.244138567,0.8994971804511278,0.8994971804511278
Cynet,0001,0,0.253548556,0.8994501879699248,0.8994501879699248
Cynet,0002,0,0.241121956,0.8994736842105263,0.8994736842105263
Cynet,0003,0,0.248627226,0.8995112781954887,0.8995112781954887
Cynet,0004,0,0.2424435,0.8994736842105263,0.8994736842105263
Darkstrand,0000,0,0.890368343,1.1062745,0.899999
Darkstrand,0001,0,0.86146682,1.1641845,0.89999875
Darkstrand,0002,0,0.577275458,1.040536,0.900028
Darkstrand,0003,0,0.862417622,1.027188,0.89998
Darkstrand,0004,0,0.76871048,1.05033225,0.89999675
Dataxchange,0000,0,0.047445563,1.0392666666666666,1.0392666666666666
Dataxchange,0001,0,0.046551502,1.2840666666666667,1.0802222222222222
Dataxchange,0002,0,0.064877741,1.2485555555555556,1.2024
Dataxchange,0003,0,0.041248896,0.98,0.8999333333333334
Dataxchange,0004,0,0.041847525,1.432511111111111,1.432511111111111
Deltacom,0000,0,580.57017841,1.5635610119047618,0.8996523736111111
Deltacom,0001,0,1083.236209261,2.0523256416666666,0.8997158249999999
Deltacom,0002,0,597.086538066,1.4442378666666666,0.8996205
Deltacom,0003,0,741.141776167,1.9189675833333328,0.89969475
Deltacom,0004,0,922.728708289,1.6976481333333335,0.8997179166666667
DeutscheTelekom,0000,0,1.635612903,1.2944341666666666,0.900032
DeutscheTelekom,0001,0,1.022424958,1.164138,0.899957
DeutscheTelekom,0002,0,0.488479939,0.899957,0.899957
DeutscheTelekom,0003,0,1.574958925,1.5048447291666667,0.900009
DeutscheTelekom,0004,0,1.433975757,1.122506,0.89996
Dfn,0000,0,70.236718512,1.62296325,0.900042125
Dfn,0001,0,1172.989619082,2.8167695,0.90013475
Dfn,0002,0,274.505254261,2.31072875,0.90569
Dfn,0003,0,91.643150384,2.304885,0.900027
Dfn,0004,0,422.327460743,2.408236875,0.904334625
DialtelecomCz,0000,0,1311.144251282,1.33365725,0.899297
DialtelecomCz,0001,1,1807.195678241,1.54252475,1.54252475
DialtelecomCz,0002,0,1630.587516663,1.4837253333333338,0.8992525
