Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Garr201012,0000,0.217,0.505,20335,84759
Garr201012,0001,0.224,0.478,20926,76852
Garr201012,0002,0.247,0.494,22506,96764
Garr201012,0003,0.211,0.489,22260,90916
Garr201101,0000,0.222,0.592,23003,108218
Garr201101,0001,0.243,0.514,22123,89216
Garr201101,0002,0.243,0.566,24364,111013
Garr201101,0003,0.231,0.545,22833,102677
Garr201101,0004,0.23,0.589,24680,106387
Garr201102,0001,0.2,0.398,19562,77377
Garr201102,0002,0.23,0.733,24453,120944
Garr201102,0003,0.209,0.491,22418,98468
Garr201102,0004,0.257,0.563,22285,96507
Garr201103,0001,0.23,0.475,22029,80890
Garr201103,0002,0.266,0.563,26393,114893
Garr201103,0003,0.266,0.552,22357,82789
Garr201103,0004,0.278,0.513,24290,95458
Garr201104,0000,0.258,0.738,26605,138580
Garr201104,0001,0.316,0.798,26044,113102
Garr201104,0004,0.277,0.751,28422,138362
Garr201105,0000,0.275,0.638,26391,111352
Garr201105,0001,0.295,0.696,24523,117304
Garr201105,0003,0.309,0.679,24832,101896
Garr201105,0004,0.272,0.698,29404,142046
Garr201107,0000,0.372,0.726,27460,117877
Garr201107,0001,0.234,0.562,22061,92040
Garr201107,0002,0.269,0.579,26588,114367
Garr201107,0003,0.248,0.641,24714,110367
Garr201107,0004,0.274,0.686,27069,117012
Garr201108,0000,0.239,0.56,26149,107800
Garr201108,0001,0.253,0.521,24764,95846
Garr201108,0002,0.236,0.526,23127,90102
Garr201108,0003,0.248,0.562,25896,106008
Garr201108,0004,0.266,0.693,29228,127035
Garr201109,0000,0.268,0.71,26855,128600
Garr201109,0001,0.301,0.75,27379,121682
Garr201109,0002,0.259,0.797,30470,141903
Garr201109,0003,0.278,0.692,28579,133083
Garr201109,0004,0.257,0.558,21216,80627
Garr201110,0000,0.337,0.804,29267,147621
Garr201110,0001,0.252,0.514,20976,74999
Garr201110,0002,0.312,0.77,24424,115145
Garr201110,0003,0.29,0.639,26150,105343
Garr201110,0004,0.275,0.59,24592,97612
Garr201111,0000,0.263,0.517,24145,85420
Garr201111,0001,0.275,0.582,26458,103207
Garr201111,0002,0.239,0.459,21363,79969
Garr201111,0003,0.275,0.566,25579,101318
Garr201111,0004,0.263,0.429,20578,69919
Garr201112,0000,0.278,0.378,17244,50672
Garr201112,0001,0.311,0.521,21643,71987
Garr201112,0002,0.277,0.598,22480,90715
Garr201112,0003,0.287,0.626,24755,93921
Garr201112,0004,0.309,0.737,27754,110983
Garr201201,0000,0.316,0.608,26626,110476
Garr201201,0001,0.295,0.798,29330,127228
Garr201201,0002,0.251,0.501,25483,85855
Garr201201,0003,0.265,0.572,24416,92084
Garr201201,0004,0.282,0.669,25870,121264
Geant2001,0000,0.078,0.114,4907,18536
Geant2001,0001,0.066,0.112,4816,19565
Geant2001,0002,0.057,0.108,4275,15847
Geant2001,0003,0.063,0.128,5102,21251
Geant2001,0004,0.065,0.109,4469,17311
Geant2009,0000,0.107,0.331,10506,58886
Geant2009,0001,0.095,0.406,11170,70029
Geant2009,0002,0.099,0.319,10281,55598
Geant2009,0003,0.094,0.317,10285,57397
Geant2009,0004,0.1,0.317,10636,59543
Geant2010,0000,0.107,0.499,13601,81506
Geant2010,0001,0.109,0.413,13005,76076
Geant2010,0002,0.113,0.67,14796,98874
Geant2010,0003,0.112,0.383,12459,72357
Geant2010,0004,0.111,0.613,14936,102863
Geant2012,0000,0.116,0.546,16158,105125
Geant2012,0001,0.124,0.557,15638,104925
Geant2012,0002,0.118,0.567,15322,91056
Geant2012,0003,0.124,0.523,15532,98922
Geant2012,0004,0.138,0.614,15284,95110
Getnet,0000,0.024,0.018,108,143
Getnet,0001,0.019,0.026,98,121
Getnet,0002,0.025,0.024,114,162
Getnet,0003,0.025,0.019,115,169
Getnet,0004,0.025,0.02,106,151
Globalcenter,0000,0.026,0.064,696,4279
Globalcenter,0001,0.023,0.067,719,4320
Globalcenter,0003,0.027,0.051,609,3733
Globalcenter,0004,0.024,0.065,750,4460
Globenet,0000,0.65,35.705,84119,1370317
Globenet,0001,0.727,36.593,84199,1371349
Globenet,0002,0.726,36.316,84119,1370317
Globenet,0003,0.796,42.276,84757,1382173
Globenet,0004,0.661,25.846,76220,1100256
Goodnet,0000,0.039,0.095,2022,9593
Goodnet,0001,0.036,0.073,1957,8606
Goodnet,0002,0.038,0.084,2083,9016
Goodnet,0003,0.04,0.075,2011,9345
Goodnet,0004,0.035,0.09,2101,10244
Gridnet,0000,0.023,0.034,452,1743
Gridnet,0001,0.025,0.03,458,1653
Gridnet,0002,0.031,0.042,498,1926
Gridnet,0003,0.022,0.037,463,1685
Gridnet,0004,0.03,0.033,455,1754
Grnet,0000,0.109,0.112,4635,8787
Grnet,0001,0.097,0.116,4784,9337
Grnet,0002,0.125,0.122,5431,11696
Grnet,0003,0.097,0.115,4628,8517
GtsCe,0000,6.945,577.762,497408,7699731
GtsCe,0001,7.544,934.463,542324,9202815
GtsCe,0002,7.104,787.819,523562,8358407
GtsCe,0003,7.364,607.752,488397,7466696
GtsCe,0004,6.877,658.326,506684,7727629
GtsCzechRepublic,0000,0.113,0.109,2419,3092
GtsCzechRepublic,0001,0.078,0.096,3053,5812
GtsCzechRepublic,0002,0.084,0.087,2472,3658
GtsCzechRepublic,0003,0.088,0.089,2558,3160
GtsCzechRepublic,0004,0.103,0.101,2536,3784
GtsHungary,0000,0.07,0.072,1641,1669
GtsHungary,0001,0.069,0.084,2281,2991
GtsHungary,0002,0.065,0.076,1975,2331
GtsHungary,0003,0.067,0.071,1810,2046
GtsHungary,0004,0.071,0.085,2115,2644
GtsPoland,0000,0.081,0.134,5300,14769
GtsPoland,0001,0.092,0.129,4636,10906
GtsPoland,0002,0.097,0.134,5574,17060
GtsPoland,0003,0.081,0.121,4795,11654
GtsPoland,0004,0.106,0.136,5177,12614
GtsRomania,0000,0.04,0.052,1541,2405
GtsRomania,0001,0.044,0.056,1634,2963
GtsRomania,0002,0.039,0.051,1201,1684
GtsRomania,0003,0.05,0.06,1579,2171
GtsRomania,0004,0.051,0.06,1955,4327
GtsSlovakia,0000,0.091,0.099,3551,6879
GtsSlovakia,0001,0.093,0.102,3267,4937
GtsSlovakia,0002,0.086,0.111,3701,6030
GtsSlovakia,0003,0.083,0.089,3428,5368
GtsSlovakia,0004,0.116,0.092,2507,3238
Harnet,0000,0.046,0.051,1303,2098
Harnet,0001,0.041,0.062,1611,3355
Harnet,0002,0.051,0.053,1277,1694
Harnet,0003,0.042,0.053,1160,1806
Harnet,0004,0.058,0.054,1231,1648
Heanet,0000,0.017,0.027,177,333
Heanet,0001,0.027,0.023,171,282
Heanet,0002,0.021,0.026,172,294
Heanet,0003,0.023,0.025,174,373
Heanet,0004,0.016,0.025,169,326
HiberniaCanada,0000,0.027,0.029,381,606
HiberniaCanada,0001,0.03,0.033,450,747
HiberniaCanada,0002,0.029,0.032,403,627
HiberniaCanada,0003,0.027,0.029,310,332
HiberniaCanada,0004,0.026,0.033,399,594
HiberniaGlobal,0000,0.337,2.37,33125,237727
HiberniaGlobal,0001,0.321,1.541,29788,182191
HiberniaGlobal,0002,0.321,1.754,31239,207037
HiberniaGlobal,0003,0.298,1.973,32291,224537
HiberniaGlobal,0004,0.3,1.75,31332,198511
HiberniaIreland,0000,0.018,0.029,101,104
HiberniaIreland,0001,0.022,0.024,95,104
HiberniaIreland,0002,0.021,0.019,114,137
HiberniaIreland,0003,0.018,0.021,94,104
HiberniaIreland,0004,0.021,0.028,100,104
HiberniaNireland,0000,0.036,0.046,1169,2654
HiberniaNireland,0001,0.036,0.044,1217,2813
HiberniaNireland,0002,0.035,0.064,1129,2716
HiberniaNireland,0003,0.036,0.068,1177,2430
HiberniaNireland,0004,0.037,0.052,1338,3081
HiberniaUk,0000,0.035,0.034,459,650
HiberniaUk,0001,0.037,0.032,461,642
HiberniaUk,0002,0.031,0.031,470,682
HiberniaUk,0003,0.035,0.033,470,692
HiberniaUk,0004,0.03,0.033,432,642
HiberniaUs,0000,0.058,0.096,2655,9680
HiberniaUs,0001,0.047,0.112,2611,9509
HiberniaUs,0002,0.053,0.077,2273,6591
Highwinds,0000,0.047,0.092,2490,10158
Highwinds,0001,0.05,0.109,2583,12250
Highwinds,0002,0.052,0.099,2501,10461
Highwinds,0003,0.053,0.126,2581,12275
Highwinds,0004,0.053,0.134,2790,14622
HostwayInternational,0000,0.037,0.056,1120,3536
HostwayInternational,0003,0.035,0.04,1023,2257
HostwayInternational,0004,0.033,0.051,1118,2900
HurricaneElectric,0000,0.062,0.122,3990,17960
