Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
BsonetEurope,0002,0.399,1.894,0.441,2.007,0.9000406666666667,0.9000166666666665
BsonetEurope,0003,0.356,1.334,0.39799999999999996,1.447,0.9000649999999999,0.9000529166666666
BsonetEurope,0004,0.379,1.758,0.421,1.871,0.9000074166666667,0.9000732499999999
BtAsiaPac,0000,4.268,12.52,4.314,12.696,0.9000809999999999,0.9000800833333332
BtAsiaPac,0001,6.173,18.367,6.219,18.543,0.900068,0.9000864999999999
BtAsiaPac,0002,4.951,12.254,4.997,12.43,0.9000594166666667,0.900041625
BtAsiaPac,0003,1.633,5.576,1.679,5.752,0.90007575,0.9000660833333333
BtAsiaPac,0004,1.251,3.805,1.297,3.9810000000000003,0.9000705,0.9000715
BtEurope,0000,0.898,6.794,0.9550000000000001,7.2139999999999995,0.900016,0.8999905
BtEurope,0001,0.69,16.306,0.747,16.726000000000003,0.9000005,0.900049
BtEurope,0002,1.197,8.137,1.254,8.557,0.90006,0.900018
BtEurope,0003,0.62,4.385,0.677,4.805,0.900031,0.899993
BtEurope,0004,0.783,13.298,0.8400000000000001,13.718,1.1317949999999999,1.1317949999999999
BtLatinAmerica,0000,0.405,1.135,0.517,1.341,0.899748,0.899748
BtLatinAmerica,0001,0.378,1.11,0.49,1.316,0.899738,0.899738
BtLatinAmerica,0002,0.425,1.054,0.537,1.26,0.899758,0.899758
BtLatinAmerica,0003,0.403,1.136,0.515,1.3419999999999999,0.899746,0.899746
BtLatinAmerica,0004,0.381,1.012,0.493,1.218,0.89975,0.89975
BtNorthAmerica,0000,38.225,1808.519,38.402,1831.771,0.9000503194444444,0.9000418805555555
BtNorthAmerica,0001,47.495,1806.613,47.672,1829.865,0.9000544166666666,0.90005975
BtNorthAmerica,0002,41.694,942.576,41.871,965.828,0.9000769999999999,0.900089
BtNorthAmerica,0003,584.572,1807.516,584.749,1830.768,0.9000657083333332,0.9001148833333332
BtNorthAmerica,0004,44.576,1375.977,44.753,1399.229,0.9000305,0.900033
Canerie,0000,0.632,3.396,0.706,3.683,0.899991,0.899945
Canerie,0001,0.417,2.697,0.491,2.984,0.8999429999999999,0.899941
Canerie,0002,0.692,3.716,0.7659999999999999,4.003,0.899992,0.899948
Canerie,0003,0.457,3.734,0.531,4.021,0.899979,0.899947
Canerie,0004,0.666,4.163,0.74,4.45,0.899976,0.8999425
Carnet,0000,0.13,0.164,0.201,0.236,0.899842,0.899842
Carnet,0001,0.136,0.103,0.20700000000000002,0.175,0.899832,0.899832
Carnet,0002,0.129,0.129,0.2,0.201,0.899832,0.899832
Carnet,0003,0.115,0.107,0.186,0.179,0.899839,0.899839
Carnet,0004,0.138,0.105,0.20900000000000002,0.177,0.899834,0.899834
Cernet,0000,0.507,1.923,0.776,2.167,0.9399892357373518,0.939962441577081
Cernet,0001,0.991,1.437,1.26,1.681,0.9058045470854943,0.9057544536554224
Cernet,0002,1.369,2.19,1.638,2.434,0.9095096774193548,0.9095708740488073
Cernet,0003,1.466,1.771,1.7349999999999999,2.0149999999999997,0.9237896,0.9237896
Cernet,0004,0.43,1.02,0.6990000000000001,1.264,0.899836559139785,0.8998107526881717
Cesnet1993,0000,0.054,0.048,0.076,0.069,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0.042,0.037,0.064,0.057999999999999996,0.8975,0.8975
Cesnet1993,0002,0.073,0.058,0.095,0.079,0.8975,0.8975
Cesnet1993,0003,0.036,0.036,0.057999999999999996,0.056999999999999995,0.8975,0.8975
Cesnet1993,0004,0.051,0.036,0.073,0.056999999999999995,0.8985,0.8985
Cesnet1997,0000,0.061,0.075,0.086,0.103,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0.05,0.043,0.07500000000000001,0.071,0.8995,0.8995
Cesnet1997,0002,0.085,0.067,0.11000000000000001,0.095,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0.042,0.041,0.067,0.069,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0.052,0.04,0.077,0.068,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0.065,0.051,0.085,0.075,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0.041,0.041,0.061,0.065,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0.064,0.043,0.084,0.067,0.89925,0.89925
Cesnet1999,0003,0.042,0.04,0.062,0.064,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0.042,0.04,0.062,0.064,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0.08,0.075,0.183,0.135,0.9439983220810729,0.9439983220810729
Cesnet2001,0001,0.112,1.498,0.215,1.558,1.0101677419354838,1.0101677419354838
Cesnet2001,0002,0.19,0.19,0.293,0.25,0.9875354838709676,0.9875354838709676
Cesnet2001,0003,0.073,0.134,0.176,0.194,1.0209717191299763,1.0209717191299763
Cesnet2001,0004,0.124,0.252,0.22699999999999998,0.312,0.9000451612903225,0.9000451612903225
Cesnet200304,0000,0.273,0.437,0.836,1.5,0.900055,0.900046
Cesnet200304,0001,0.189,0.19,0.752,1.253,0.8999583333333332,0.8999583333333333
Cesnet200304,0002,0.2,2.828,0.7629999999999999,3.891,0.899997,0.90004
Cesnet200304,0003,0.287,0.261,0.8499999999999999,1.3239999999999998,0.9000379999999999,0.9000028
Cesnet200304,0004,0.162,0.326,0.725,1.389,0.8999533333333334,0.8999533333333334
Cesnet200511,0000,0.357,1.417,0.44399999999999995,1.611,0.900031,0.9001045
Cesnet200511,0001,0.381,1.601,0.46799999999999997,1.795,0.9000499,0.9000385371793318
Cesnet200511,0002,0.485,1.33,0.572,1.524,0.9000758,0.9000613
Cesnet200511,0003,0.502,1.514,0.589,1.708,0.9001692,0.9003142
Cesnet200511,0004,0.347,2.154,0.43399999999999994,2.348,0.900049,0.9001615666720342
Cesnet200603,0000,0.4,1.404,0.488,1.5879999999999999,0.9004058164001932,0.9004266
Cesnet200603,0001,0.367,1.274,0.45499999999999996,1.458,0.899922,0.899922
Cesnet200603,0002,0.465,1.199,0.553,1.383,0.9000959999999999,0.9002297153616192
Cesnet200603,0003,0.379,1.337,0.46699999999999997,1.521,0.9000864,0.9001514
Cesnet200603,0004,0.5,2.184,0.588,2.3680000000000003,0.9000038,0.9000686
Cesnet200706,0000,0.566,1.649,0.6739999999999999,1.8800000000000001,0.9000332361836486,0.9000753266261958
Cesnet200706,0001,0.423,1.788,0.531,2.019,0.9000674755591922,0.9000948452511076
Cesnet200706,0002,0.387,1.408,0.495,1.639,0.9001,0.9000020500008288
Cesnet200706,0003,0.505,2.385,0.613,2.6159999999999997,0.9001415154827404,0.9000524276807687
Cesnet200706,0004,0.463,2.228,0.5710000000000001,2.459,0.9000548266179086,0.900100188338374
Cesnet201006,0000,3.329,12.202,3.653,12.928,0.9000409307067809,0.9000470359706886
Cesnet201006,0001,2.595,11.696,2.919,12.422,0.9000025184213619,0.8999786061377235
