Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Myren,0.078,0.102,0.135,4238,9026,12194,8.838004671338005%,0.5527142150306914%,0.022606318289842588%
Napnet,0.018,0.018,0.019,78,126,126,52.0%,24.705882352941178%,10.24390243902439%
Navigata,0.042,0.046,0.081,732,2832,7808,39.1025641025641%,14.880201765447667%,4.501014572957019%
Netrail,0.019,0.035,0.026,190,462,686,75.39682539682539%,42.30769230769231%,18.992248062015506%
NetworkUsa,0.075,0.176,0.303,6352,18030,35100,15.699456253089473%,1.390023899468044%,0.0871985996550811%
Nextgen,0.036,0.045,0.062,984,1876,2384,22.610294117647058%,3.051795939614784%,0.29650561171694656%
Niif,0.066,0.078,0.076,2118,2848,3040,4.802721088435375%,0.19536019536019536%,0.006510073696604011%
Noel,0.047,0.126,0.411,2388,11634,38428,38.79142300194932%,11.730187537810043%,2.5712259290484027%
Nordu1989,0.018,0.018,0.018,42,42,42,16.666666666666664%,3.8461538461538463%,1.1627906976744187%
Nordu1997,0.025,0.028,0.028,182,182,182,7.6923076923076925%,0.6896551724137931%,0.06825938566552901%
Nordu2005,0.019,0.022,0.02,112,112,112,19.444444444444446%,3.111111111111111%,0.5982905982905984%
Nordu2010,0.029,0.03,0.03,304,304,304,10.340136054421768%,0.8515406162464986%,0.07675604706357622%
Nsfcnet,0.021,0.025,0.024,196,260,272,34.02777777777778%,7.222222222222221%,1.452991452991453%
Nsfnet,0.027,0.039,0.054,732,1928,3132,39.1025641025641%,10.130306851618327%,1.8054786939679026%
Ntelos,0.214,3.323,235.394,30480,312811,2463911,30.64795077022081%,7.141457993357399%,1.3074413312797555%
Ntt,0.153,7.454,3232.917,17350,270153,3728465,56.41909469302809%,30.22548870430704%,14.878798409124865%
Oteglobe,0.867,26.544,3601.727,111282,1424529,-,19.93972319975918%,3.189650686509913%,-
Oxford,0.042,0.081,0.243,2244,8099,21263,31.0803324099723%,6.557894736842106%,1.0717345940987308%
Pacificwave,0.036,0.056,0.052,706,874,898,13.571703191080353%,1.1113654281427228%,0.08113465642454566%
Packetexchange,0.046,0.116,0.249,2862,10680,26114,34.07142857142857%,7.02446724546172%,1.0067388354305453%
Padi,0.018,0.026,0.017,42,42,42,16.666666666666664%,3.8461538461538463%,1.1627906976744187%
Palmetto,0.209,7.192,2213.419,34786,479481,5330783,39.92883379247016%,13.08984438984439%,3.5473735723419506%
Peer1,0.034,0.069,0.215,1574,6894,21247,43.72222222222222%,14.581218274111677%,3.71815063698726%
Pern,1.362,2.155,3.315,66092,191254,334049,3.2779632704642077%,0.07648714331801575%,0.0010860605947979713%
PionierL1,0.097,0.388,2.661,9982,54241,213515,22.634920634920636%,3.72069254091726%,0.45723631096394923%
PionierL3,0.114,0.547,4.996,11592,70847,322570,22.282880319864674%,3.8850460248017367%,0.5197994824790817%
Psinet,0.052,0.081,0.082,2222,4214,5100,17.501575299306868%,1.5740325713431944%,0.09500391192578518%
Quest,0.044,0.3,6.296,4178,35145,232707,57.86703601108033%,28.457489878542507%,11.72930170667043%
RedBestel,1.015,17.892,1313.151,96890,948093,6679957,16.743393539735536%,2.0220936854161202%,0.1780596038742202%
Rediris,0.039,0.136,0.296,2274,9774,30397,36.939571150097464%,9.854809437386571%,2.0338699532966666%
Renam,0.014,0.019,0.015,20,20,20,25.0%,10.0%,6.25%
Renater1999,0.047,0.035,0.038,552,552,552,4.3478260869565215%,0.2061855670103093%,0.010282776349614397%
Renater2001,0.041,0.057,0.054,1338,2470,3440,10.53875236294896%,0.9226057074555505%,0.06408107000484334%
Renater2004,0.061,0.194,0.647,5572,24244,73997,22.08481965913595%,3.5498938428874736%,0.41609521544203193%
Renater2006,0.08,0.46,4.691,10390,66814,291032,30.74692234848485%,6.577009702009702%,0.9866765174297752%
Renater2008,0.087,0.497,4.58,10390,66814,291032,30.74692234848485%,6.577009702009702%,0.9866765174297752%
Renater2010,0.159,2.489,177.805,25136,259894,2004336,33.13821652692084%,8.555640268993695%,1.6907172206920027%
Restena,0.037,0.037,0.063,804,1238,1492,13.060428849902534%,1.2482355313571285%,0.09983004804153786%
Reuna,0.073,0.075,0.068,1332,1332,1332,2.7777777777777777%,0.08156606851549755%,0.0024693796918214142%
Rhnet,0.033,0.041,0.043,910,1498,1726,25.27777777777778%,3.168358714043993%,0.3020439591208176%
Rnp,0.063,0.107,0.139,3868,9054,14498,13.86379928315412%,1.1562332388322734%,0.06847600505942175%
Roedunet,0.087,0.105,0.095,1722,1722,1722,2.4390243902439024%,0.06246096189881324%,0.0016425485783742055%
RoedunetFibre,0.138,0.54,3.288,15398,79409,286378,14.522031084955486%,1.662684214581721%,0.13620674789626216%
Sago,0.046,0.04,0.033,306,306,306,5.88235294117647%,0.38910505836575876%,0.02764722145424385%
Sanet,0.121,0.22,0.351,7912,21880,38770,10.430839002267573%,0.720283689063934%,0.032703651805999066%
Sanren,0.017,0.018,0.02,84,84,84,33.33333333333333%,7.6923076923076925%,2.3255813953488373%
Savvis,0.04,0.063,0.052,1328,2296,2628,21.57244964262508%,2.3149828594474693%,0.17584005781042997%
Shentel,0.079,0.255,1.795,6234,35141,144876,30.540858318636094%,6.865997671019827%,1.1773356308590075%
Sinet,0.306,0.698,0.98,24308,73091,137497,6.16412997722812%,0.2609519600048127%,0.007011357448560818%
Singaren,0.021,0.022,0.022,110,110,110,10.0%,1.2195121951219512%,0.17064846416382254%
Spiralight,0.047,0.058,0.064,978,1930,2458,33.265306122448976%,5.406162464985995%,0.6206130384285209%
Sprint,0.026,0.074,0.264,792,4151,15922,72.0%,46.019955654102%,24.700589512876203%
Sunet,0.071,0.229,1.01,5230,26015,87132,32.184615384615384%,6.936408478869484%,1.0537633108185738%
Surfnet,0.235,6.322,1363.371,40869,512607,5003511,34.043315285297794%,9.077108327061845%,1.925179238275565%
Switch,0.661,20.703,3600.118,92614,1240383,-,23.485467077135308%,4.428457334099267%,-
SwitchL3,0.138,1.342,64.897,19012,180322,1375387,26.92841562561967%,6.540700099603834%,1.311927968388132%
Syringa,0.438,0.496,0.512,10326,10326,10326,2.618512676684942%,0.03686623440655752%,0.0005265516848646808%
TataNld,12.164,3600.801,3600.352,819461,-,-,27.254316996594298%,-,-
Telcove,0.177,0.187,0.187,4970,4970,4970,1.4285714285714286%,0.020999580008399833%,0.0003133558531739814%
Telecomserbia,0.018,0.022,0.02,102,126,126,68.0%,24.705882352941178%,10.24390243902439%
Tinet,0.368,51.34,3603.725,68784,1428505,-,47.995980797141904%,19.920271779327948%,-
TLex,0.024,0.033,0.029,280,324,324,19.28374655647383%,2.43024302430243%,0.29897021370833793%
Tw,0.917,822.004,3838.038,164054,4747264,-,47.15550445530325%,20.058460802614935%,-
Twaren,0.039,0.04,0.074,964,1156,1156,13.351800554016622%,0.9360323886639677%,0.05826671639835079%
Ulaknet,0.211,0.222,0.225,6642,6642,6642,1.2345679012345678%,0.01562255897516013%,0.0002002559270748016%
UniC,0.049,0.07,0.084,2238,4357,5835,15.541666666666668%,1.3701257861635219%,0.08717282179992829%
Uninet,0.028,0.052,0.127,1030,4024,10575,55.02136752136752%,21.14333753678016%,6.0960846707249585%
Uninett2010,0.47,5.93,653.06,69068,718770,5885793,17.514568424682892%,2.566176961495385%,0.3001330835671842%
Uninett2011,0.408,5.392,603.154,61492,646520,5428924,19.27310566170202%,3.0688638387474674%,0.39636190601683025%
