Topology,Nodes,Edges,2-SR preprocessing time,3-SR preprocessing time,4-SR preprocessing time,2-SR useful paths,3-SR useful paths,4-SR useful paths,2-SR percentage paths left,3-SR percentage paths left,4-SR percentage paths left,2-SR useful paths adjacency,3-SR useful paths adjacency
Surfnet,146,50,0.235,6.322,1363.371,40869,512607,5003511,34.04%,9.08%,1.93%,40869,512607
Switch,184,74,0.661,20.703,3600.118,92614,1240383,-,23.49%,4.43%,-,92614,1240383
SwitchL3,126,42,0.138,1.342,64.897,19012,180322,1375387,26.93%,6.54%,1.31%,19084,180959
Syringa,148,74,0.438,0.496,0.512,10326,10326,10326,2.62%,0.04%,0.00%,10326,10326
TataNld,388,145,12.164,3600.801,3600.352,819461,-,-,27.25%,-,-,819461,-
Telcove,140,71,0.177,0.187,0.187,4970,4970,4970,1.43%,0.02%,0.00%,4970,4970
Telecomserbia,12,6,0.018,0.022,0.02,102,126,126,68.00%,24.71%,10.24%,102,126
Tinet,178,53,0.368,51.34,3603.725,68784,1428505,-,48.00%,19.92%,-,68784,1428505
TLex,32,12,0.024,0.033,0.029,280,324,324,19.28%,2.43%,0.30%,350,434
Tw,236,71,0.917,822.004,3838.038,164054,4747264,-,47.16%,20.06%,-,164054,4747264
Twaren,40,20,0.039,0.04,0.074,964,1156,1156,13.35%,0.94%,0.06%,964,1156
Ulaknet,164,82,0.211,0.222,0.225,6642,6642,6642,1.23%,0.02%,0.00%,6736,6736
UniC,58,25,0.049,0.07,0.084,2238,4357,5835,15.54%,1.37%,0.09%,2238,4357
Uninet,50,13,0.028,0.052,0.127,1030,4024,10575,55.02%,21.14%,6.10%,1030,4024
Uninett2010,202,74,0.47,5.93,653.06,69068,718770,5885793,17.51%,2.57%,0.30%,69332,721286
Uninett2011,196,69,0.408,5.392,603.154,61492,646520,5428924,19.27%,3.07%,0.40%,62182,654190
Uran,48,24,0.04,0.041,0.077,642,722,722,5.06%,0.27%,0.01%,642,722
UsCarrier,378,158,7.087,949.624,3613.678,583290,9953918,-,14.98%,1.65%,-,583290,9953918
UsSignal,158,61,0.471,28.188,3600.139,72078,1148549,-,32.82%,9.01%,-,72078,1148549
Uunet,168,49,0.292,32.235,3607.591,53396,1095815,-,47.30%,21.08%,-,53396,1095815
Vinaren,52,25,0.041,0.047,0.063,1218,1358,1358,8.46%,0.43%,0.02%,1218,1358
VisionNet,46,24,0.04,0.053,0.045,552,552,552,4.35%,0.21%,0.01%,552,552
VtlWavenet2008,184,88,1.138,19.963,595.157,85974,795591,4540412,12.91%,1.40%,0.10%,85974,795591
VtlWavenet2011,192,92,1.211,22.867,659.895,94730,871899,4967096,12.43%,1.29%,0.08%,94730,871899
